Category,Subcategory,Category_id,Subcategory_id,Links
Phase Shifter,Phase Shifter,29,66,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPhase%2BShifters%2Band%2BTrimmers%26keywords%3Dshifter%26sort%3Dy%26initial_sort%3Dselect%3AASC%26res_per_page%3D48%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Phase Shifter,Waveguide Phase Shifter,29,108,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Phase%2520Shifters%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Phase Shifter,Waveguide Phase Shifter,29,108,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Phase%2520Shifters%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Power Detector,Power Detector,31,68,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DDetectors%26Rfacdt99design%3DSchottky%2BZero%2BBias%5ETunnel%2BDiode%2BZero%2BBias%5EBiased%5ELog%5EThreshold%5EPower%26sort%3Dy%26initial_sort%3Dselect%3AASC%26res_per_page%3D48%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Power Detector,Power Detector,31,68,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Detectors%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Power Detector,Waveguide Power Detector,31,109,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Detectors%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Power Divider,Power Divider,32,69,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPower%2BDividers%255ETap%2BPower%2BDividers%255ECombiners%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Power Limiter,Power Limiter,33,70,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DLimiters%26Rfaclm99relgrade%3DEnhanced%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Power Limiter,Power Limiter,33,70,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DLimiters%26Rfaclm99design%3DPIN-PIN%5EPIN-Schottky%26sort%3Dy%26initial_sort%3Dselect%3AASC%26res_per_page%3D48%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Rotary Joint,Rotary Joint,35,75,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DRotary%2BJoints%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Electromechanical Switch,36,33,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DElectromechanical%2520Relay%2520Switches%26Rfacswelm99relgrade%3DEnhanced%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Electromechanical Switch,36,33,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Electromechanical%2520Relay%2520Switches%26Rfwgswelm99relgrade%3DEnhanced%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Switch,36,76,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DHigh%2520Isolation%2520Switches%26Rfacswpinhstd99relgrade%3DEnhanced%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Switch,36,76,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPIN%2520Diode%2520Switches%26Rfacswpinstd99relgrade%3DEnhanced%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,USB Switch,36,87,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DHigh%2520Isolation%2520USB%2520Switches%26Rfacswpinhusb99relgrade%3DEnhanced%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Electromechanical Switch,36,33,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DElectromechanical%2BRelay%2BSwitches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Switch,36,76,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPIN%2BDiode%2BSwitches%26Rfacswpinstd99spec7%3DGaN%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
