Category,Subcategory,Category_id,Subcategory_id,Links
Cable,Test Cable,7,79,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DCable%2BAssemblies%26Rfinca99rfcablegn%3DFM-160FLEX%5EFM-F141%5EFM-102FLEX%5ELL142%5ELL335i%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Cable,VNA Cable,7,91,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DCable%2BAssemblies%26Rfinca99rfcablegn%3DFM-VNA-HF%5EVNA-R%5EArmored%2BTest%5EFM-110TC%5EFM-FT430%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Cable,Cable,7,13,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DCable%2BAssemblies%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Circulator,Circulator,10,16,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DCirculators%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Combiner,Combiner,42,121,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DCombiners%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Connector,Connector,43,122,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DConnectors%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Coupler,Coupler,11,20,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DCouplers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Coupler,Coupler,11,20,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DTappers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Coupler,Hybrid Coupler,11,47,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DHybrids%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Coupler,Waveguide Coupler,11,103,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BCouplers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Coupler,Magic Tee,11,123,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Magic%2520Tees%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
DC Block,DC Block,13,22,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DDC%2BBlocks%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
